,subject,trick,duration,memory,time
0,26,3,6,1,0
1,26,3,6,1,10
2,26,3,6,0,45
3,26,3,6,1,135
0,26,4,0,1,0
1,26,4,0,1,10
2,26,4,0,1,45
3,26,4,0,0,135
0,26,5,0,1,0
1,26,5,0,1,10
2,26,5,0,1,45
3,26,5,0,1,135
0,26,6,0,1,0
1,26,6,0,1,10
2,26,6,0,1,45
3,26,6,0,1,135
0,26,7,0,1,0
1,26,7,0,1,10
2,26,7,0,1,45
3,26,7,0,1,135
0,26,8,0,1,0
1,26,8,0,0,10
2,26,8,0,1,45
3,26,8,0,1,135
0,27,1,4,0,0
1,27,1,4,1,10
2,27,1,4,0,45
0,27,2,0,1,0
1,27,2,0,0,10
2,27,2,0,0,45
0,27,3,0,0,0
1,27,3,0,0,10
2,27,3,0,0,45
0,27,4,0,0,0
1,27,4,0,0,10
2,27,4,0,0,45
0,27,5,0,1,0
1,27,5,0,1,10
2,27,5,0,1,45
0,27,6,0,1,0
1,27,6,0,1,10
2,27,6,0,1,45
0,27,7,0,0,0
1,27,7,0,0,10
2,27,7,0,0,45
0,27,8,0,1,0
1,27,8,0,0,10
2,27,8,0,1,45
0,28,1,0,0,0
1,28,1,0,0,10
2,28,1,0,0,45
0,28,2,0,1,0
1,28,2,0,1,10
2,28,2,0,1,45
0,28,3,6,1,0
1,28,3,6,1,10
2,28,3,6,1,45
0,28,4,0,0,0
1,28,4,0,0,10
2,28,4,0,0,45
0,28,5,0,1,0
1,28,5,0,1,10
2,28,5,0,1,45
0,28,6,2,0,0
1,28,6,2,1,10
2,28,6,2,1,45
0,28,7,2,1,0
1,28,7,2,1,10
2,28,7,2,1,45
0,28,8,16,1,0
1,28,8,16,1,10
2,28,8,16,1,45
0,29,1,0,0,0
0,29,2,10,0,0
0,29,3,14,1,0
0,29,4,0,0,0
0,29,5,0,1,0
0,29,6,2,1,0
0,29,7,16,1,0
0,29,8,16,1,0
0,30,1,0,0,0
1,30,1,0,0,10
2,30,1,0,0,45
3,30,1,0,0,135
0,30,2,6,1,0
1,30,2,6,0,10
2,30,2,6,0,45
3,30,2,6,0,135
0,30,3,0,0,0
1,30,3,0,0,10
2,30,3,0,0,45
3,30,3,0,0,135
0,30,4,2,1,0
1,30,4,2,0,10
2,30,4,2,0,45
3,30,4,2,0,135
0,30,5,0,1,0
1,30,5,0,1,10
2,30,5,0,1,45
3,30,5,0,1,135
0,30,6,2,1,0
1,30,6,2,1,10
2,30,6,2,1,45
3,30,6,2,0,135
0,30,7,0,1,0
1,30,7,0,0,10
2,30,7,0,0,45
3,30,7,0,0,135
0,30,8,0,1,0
1,30,8,0,1,10
2,30,8,0,1,45
3,30,8,0,1,135
0,31,1,18,0,0
1,31,1,18,0,10
2,31,1,18,0,45
3,31,1,18,0,135
0,31,2,12,0,0
1,31,2,12,0,10
2,31,2,12,0,45
3,31,2,12,0,135
0,31,3,10,0,0
1,31,3,10,0,10
2,31,3,10,0,45
3,31,3,10,0,135
0,31,4,22,0,0
1,31,4,22,0,10
2,31,4,22,0,45
3,31,4,22,0,135
0,31,5,8,1,0
1,31,5,8,1,10
2,31,5,8,1,45
3,31,5,8,1,135
0,31,6,0,0,0
1,31,6,0,0,10
2,31,6,0,0,45
3,31,6,0,0,135
0,31,7,12,1,0
1,31,7,12,1,10
2,31,7,12,1,45
3,31,7,12,1,135
0,31,8,6,1,0
1,31,8,6,1,10
2,31,8,6,1,45
3,31,8,6,1,135
0,32,1,10,0,0
1,32,1,10,1,10
2,32,1,10,1,45
3,32,1,10,0,135
0,32,2,6,0,0
1,32,2,6,0,10
2,32,2,6,0,45
3,32,2,6,0,135
0,32,3,0,1,0
1,32,3,0,1,10
2,32,3,0,0,45
3,32,3,0,1,135
0,32,4,6,1,0
1,32,4,6,1,10
2,32,4,6,0,45
3,32,4,6,0,135
0,32,5,8,1,0
1,32,5,8,1,10
2,32,5,8,1,45
3,32,5,8,1,135
0,32,6,0,1,0
1,32,6,0,1,10
2,32,6,0,1,45
3,32,6,0,0,135
0,32,7,0,1,0
1,32,7,0,1,10
2,32,7,0,1,45
3,32,7,0,1,135
0,32,8,16,0,0
1,32,8,16,0,10
2,32,8,16,0,45
3,32,8,16,0,135
0,33,1,46,1,0
1,33,1,46,1,10
2,33,1,46,1,45
3,33,1,46,0,135
0,33,2,0,0,0
1,33,2,0,0,10
2,33,2,0,0,45
3,33,2,0,0,135
0,33,3,26,0,0
1,33,3,26,1,10
2,33,3,26,1,45
3,33,3,26,1,135
0,33,4,0,1,0
1,33,4,0,1,10
2,33,4,0,1,45
3,33,4,0,1,135
0,33,5,10,1,0
1,33,5,10,0,10
2,33,5,10,1,45
3,33,5,10,1,135
0,33,6,0,1,0
1,33,6,0,1,10
2,33,6,0,1,45
3,33,6,0,0,135
0,33,7,0,1,0
1,33,7,0,1,10
2,33,7,0,1,45
3,33,7,0,1,135
0,33,8,28,1,0
1,33,8,28,1,10
2,33,8,28,1,45
3,33,8,28,1,135
0,34,1,14,0,0
1,34,1,14,0,10
2,34,1,14,0,45
3,34,1,14,1,135
0,34,2,20,1,0
1,34,2,20,1,10
2,34,2,20,0,45
3,34,2,20,0,135
0,34,3,18,0,0
1,34,3,18,0,10
2,34,3,18,0,45
3,34,3,18,0,135
0,34,4,10,0,0
1,34,4,10,0,10
2,34,4,10,0,45
3,34,4,10,1,135
0,34,5,4,1,0
1,34,5,4,1,10
2,34,5,4,1,45
3,34,5,4,1,135
0,34,6,0,1,0
1,34,6,0,1,10
2,34,6,0,1,45
3,34,6,0,0,135
0,34,7,12,1,0
1,34,7,12,1,10
2,34,7,12,1,45
3,34,7,12,1,135
0,34,8,16,0,0
1,34,8,16,0,10
2,34,8,16,0,45
3,34,8,16,0,135
0,35,1,10,0,0
1,35,1,10,0,10
2,35,1,10,1,45
0,35,2,0,0,0
1,35,2,0,0,10
2,35,2,0,0,45
0,35,3,0,1,0
1,35,3,0,1,10
2,35,3,0,0,45
0,35,4,2,0,0
1,35,4,2,0,10
2,35,4,2,0,45
0,35,5,4,1,0
1,35,5,4,1,10
2,35,5,4,1,45
0,35,6,2,1,0
1,35,6,2,1,10
2,35,6,2,0,45
0,35,7,0,1,0
1,35,7,0,0,10
2,35,7,0,0,45
0,35,8,0,1,0
1,35,8,0,1,10
2,35,8,0,1,45
0,36,1,6,0,0
0,36,2,6,1,0
0,36,3,8,0,0
0,36,4,6,1,0
0,36,5,0,1,0
0,36,6,4,1,0
0,36,7,0,0,0
0,36,8,0,0,0
0,37,1,0,1,0
1,37,1,0,1,10
2,37,1,0,1,45
3,37,1,0,1,135
0,37,2,2,1,0
1,37,2,2,1,10
2,37,2,2,1,45
3,37,2,2,1,135
0,37,3,0,1,0
1,37,3,0,1,10
2,37,3,0,1,45
3,37,3,0,1,135
0,37,4,0,0,0
1,37,4,0,1,10
2,37,4,0,1,45
3,37,4,0,0,135
0,37,5,0,1,0
1,37,5,0,1,10
2,37,5,0,1,45
3,37,5,0,0,135
0,37,6,4,1,0
1,37,6,4,1,10
2,37,6,4,1,45
3,37,6,4,1,135
0,37,7,0,1,0
1,37,7,0,1,10
2,37,7,0,1,45
3,37,7,0,1,135
0,37,8,22,1,0
1,37,8,22,1,10
2,37,8,22,1,45
3,37,8,22,0,135
0,38,1,0,0,0
0,38,2,4,1,0
0,38,3,0,1,0
0,38,4,0,1,0
0,38,5,0,1,0
0,38,6,0,1,0
0,38,7,0,1,0
0,38,8,8,1,0
